Aboriginal ancestry responses (73),Total - Single and multiple Aboriginal ancestry responses [4],  Single ancestry responses [5],  Multiple ancestry responses [6],  Non-Aboriginal ancestry responses only [7], 
Total  - Aboriginal ancestry [8],34460065,1975195,155325,32329545,
  Total Aboriginal ancestry [9],2130520,1975195,155325,0,
    First Nations ancestry,1525570,1373020,152550,0,
      Abenaki,9775,8250,1520,0,
      Algonquin,40880,31155,9730,0,
"      Anishinaabe, n.o.s. [10]",4505,2940,1565,0,
      Apache,825,520,300,0,
      Assiniboine,1810,535,1280,0,
      Atikamekw,8005,6690,1310,0,
      Beaver (Dunne-za),1700,585,1120,0,
"      Blackfoot, n.o.s. [11]",22490,16550,5945,0,
      Blood (Kainai),1000,665,335,0,
      Carrier (Dakelh),7805,5790,2025,0,
      Cayuga,580,355,225,0,
      Cherokee,11620,9935,1690,0,
      Chilcotin (Tsilhqot'in),2800,1855,950,0,
      Chipewyan (Denesuline),3480,1780,1700,0,
      Cowichan,1235,740,495,0,
      Cree,356660,275135,81525,0,
      Dakota,5785,3495,2290,0,
      Delaware (Lenape),1295,605,685,0,
      Dene Tha (Slavey),2630,1690,945,0,
"      Dene, n.o.s. [12]",27430,19725,7705,0,
      Gitxsan,5680,3555,2120,0,
      Gwich'in,3275,2005,1270,0,
      Haida,5100,3990,1115,0,
      Haisla,1440,940,500,0,
      Heiltsuk,1840,1185,655,0,
      Huron (Wendat),14220,10950,3270,0,
      Innu/Montagnais,27755,23630,4125,0,
"      Iroquois, n.o.s. [13]",18115,13970,4145,0,
      Kaska,1435,925,510,0,
      Ktunaxa (Kutenai),940,665,270,0,
      Kwakwaka'wakw (Kwakiutl),3665,2705,965,0,
      Lakota,885,450,435,0,
      Maliseet,7635,6370,1265,0,
      Mi'kmaq,168480,152145,16335,0,
      Mohawk,32285,26370,5915,0,
      Musqueam,300,200,100,0,
      Naskapi,1080,380,705,0,
      Navajo,700,350,360,0,
      Nisga'a,5495,3515,1980,0,
      Nlaka'pamux (Thompson),3105,1935,1180,0,
      Nuu-chah-nulth,4310,3445,870,0,
      Nuxalk,1380,920,460,0,
      Odawa,1905,625,1285,0,
      Ojibway,125725,97605,28120,0,
      Oji-Cree,18920,17180,1740,0,
      Okanagan (Syilx),3790,2265,1525,0,
      Oneida,1980,1355,620,0,
      Potawatomi,2690,660,2030,0,
      Sahtu (North Slavey),635,330,305,0,
"      Salish, n.o.s. [14]",22380,19055,3325,0,
      Saulteaux,18100,8655,9450,0,
      Sechelt (Shishalh),305,190,115,0,
      Secwepemc (Shuswap),6755,4460,2290,0,
      Sekani,1035,710,320,0,
"      Sioux, n.o.s. [15]",8065,3840,4225,0,
      Squamish,1730,1280,445,0,
      St'at'imc (Lillooet),2180,1580,600,0,
      Sto:lo,2305,1540,760,0,
      Stoney (Nakoda),9015,5080,3935,0,
      Tahltan,2320,1340,980,0,
      Tlicho (Dogrib),1935,1455,480,0,
      Tlingit,2105,1260,845,0,
      Tsimshian,5910,3655,2260,0,
      Tsuu T'ina (Sarcee),865,365,495,0,
"      Tutchone, n.o.s. [16]",2130,1500,630,0,
      Wet'suwet'en,1445,920,530,0,
"      First Nations ancestry, n.i.e. [17]",558545,546535,12005,0,
    Métis ancestry,599995,532255,67740,0,
    Inuit ancestry,79130,69915,9215,0,
  Non-Aboriginal ancestry,33732280,1312610,90125,32329540,
