Provinces,Total,Aboriginal,Non-aboriginal,Aboriginal %,Non-aboriginal %
Canada,34460065.0,1673785.0,32786280.0,4.857173078460531,95.14282692153947
Newfoundland and Labrador,512255.0,45730.0,466525.0,8.927194463694839,91.07280553630515
Prince Edward Island,139685.0,2735.0,136945.0,1.9579768765436518,98.0384436410495
Nova Scotia,908340.0,51495.0,856850.0,5.669132703613185,94.33141775106238
New Brunswick,730710.0,29385.0,701325.0,4.021431210740238,95.97856878925977
Quebec,7965450.0,182885.0,7782560.0,2.295978256093504,97.70395897281384
Ontario,13242160.0,374395.0,12867765.0,2.8272955469500443,97.17270445304995
Manitoba,1240700.0,223310.0,1017385.0,17.998710405416297,82.0008865962763
Saskatchewan,1070555.0,175020.0,895535.0,16.348529501053193,83.65147049894681
Alberta,3978145.0,258640.0,3719505.0,6.501522694622746,93.49847730537726
British Columbia,4560240.0,270585.0,4289655.0,5.933569285827062,94.06643071417294
Yukon,35115.0,8195.0,26915.0,23.33760501210309,76.64815605866438
Northwest Territories,41135.0,20860.0,20275.0,50.71107329524735,49.28892670475265
Nunavut,35580.0,30555.0,5025.0,85.87689713322091,14.123102866779089
