Provinces,"No certificate, diploma or degree",Secondary (high) school diploma or equivalency certificate,"Postsecondary certificate, diploma or degree"
Alberta,18305.0,6105.0,9735.0
British Columbia,19880.0,17830.0,26040.0
Manitoba,24880.0,7920.0,7935.0
New Brunswick,1960.0,1765.0,2330.0
Newfoundland and Labrador,1015.0,290.0,690.0
Northwest Territories,140.0,25.0,65.0
Nova Scotia,2365.0,1705.0,2805.0
Ontario,18745.0,8230.0,14340.0
Prince Edward Island,140.0,125.0,145.0
Quebec,8965.0,2380.0,6925.0
Saskatchewan,19490.0,8205.0,8290.0
