10,Alberta,British Columbia,Canada,Manitoba,New Brunswick,Newfoundland and Labrador,Northwest Territories,Nova Scotia,Nunavut,Ontario,Prince Edward Island,Quebec,Saskatchewan,Yukon
    0 to 4 years,129995.0,107275.0,925760.0,39355.0,16860.0,10930.0,1515.0,20640.0,2025.0,340055.0,3360.0,216970.0,35795.0,985.0
    5 to 9 years,131725.0,114830.0,983445.0,40805.0,18735.0,12605.0,1495.0,22330.0,1985.0,368765.0,3925.0,228940.0,36305.0,995.0
    10 to 14 years,117860.0,113885.0,937445.0,38545.0,18585.0,12700.0,1385.0,22490.0,1700.0,367530.0,3830.0,204815.0,33175.0,945.0
    15 to 19 years,116410.0,125985.0,986940.0,39890.0,19705.0,13275.0,1310.0,25015.0,1535.0,394945.0,4215.0,210755.0,32980.0,930.0
    20 to 24 years,127840.0,139945.0,1098200.0,42295.0,20165.0,13785.0,1430.0,28010.0,1510.0,436570.0,4225.0,247500.0,33985.0,930.0
    25 to 29 years,154225.0,151415.0,1141515.0,43125.0,19505.0,14150.0,1710.0,26940.0,1580.0,438010.0,3945.0,247380.0,38235.0,1310.0
    30 to 34 years,165620.0,158715.0,1181110.0,42975.0,21365.0,15215.0,1720.0,26600.0,1425.0,443965.0,4025.0,259070.0,38915.0,1495.0
    35 to 39 years,151850.0,150520.0,1169730.0,41215.0,22850.0,16185.0,1650.0,27450.0,1180.0,439585.0,4295.0,275945.0,35650.0,1355.0
    40 to 44 years,138660.0,153115.0,1150695.0,39795.0,24910.0,17765.0,1460.0,29805.0,965.0,453415.0,4585.0,252425.0,32440.0,1370.0
    45 to 49 years,133180.0,167040.0,1202210.0,40130.0,26105.0,19920.0,1400.0,32170.0,1005.0,484275.0,4910.0,259015.0,31795.0,1245.0
    50 to 54 years,142100.0,182310.0,1359320.0,45355.0,31265.0,21890.0,1575.0,39065.0,890.0,539175.0,5825.0,310370.0,38015.0,1495.0
    55 to 59 years,136970.0,183715.0,1335055.0,44210.0,31530.0,22045.0,1345.0,39580.0,655.0,507180.0,5915.0,322285.0,38125.0,1490.0
    60 to 64 years,112790.0,167645.0,1175630.0,39325.0,29895.0,21460.0,1000.0,36225.0,440.0,439640.0,5475.0,286535.0,33985.0,1220.0
    65 to 69 years,88180.0,148035.0,1019405.0,33625.0,26570.0,19180.0,630.0,32905.0,310.0,385270.0,5110.0,251775.0,26945.0,870.0
    70 to 74 years,60610.0,104110.0,742900.0,24040.0,18360.0,13445.0,370.0,23485.0,165.0,278185.0,3455.0,196690.0,19510.0,485.0
    75 to 79 years,44845.0,76510.0,552300.0,18305.0,13465.0,8935.0,235.0,17030.0,100.0,213195.0,2520.0,140890.0,15985.0,295.0
    80 to 84 years,34575.0,56610.0,423880.0,14575.0,10135.0,6175.0,145.0,12495.0,50.0,164360.0,1930.0,109450.0,13170.0,215.0
      85 to 89 years,23915.0,39575.0,296990.0,10875.0,6760.0,3875.0,80.0,8360.0,25.0,115425.0,1180.0,76840.0,9975.0,105.0
      90 to 94 years,12275.0,21205.0,154835.0,6230.0,3715.0,1695.0,35.0,4485.0,5.0,60990.0,650.0,38015.0,5485.0,50.0
      95 to 99 years,3595.0,6330.0,43280.0,1940.0,1110.0,475.0,10.0,1430.0,5.0,16060.0,210.0,10350.0,1760.0,20.0
      100 years and over,535.0,1050.0,6890.0,350.0,185.0,75.0,5.0,225.0,0.0,2520.0,25.0,1600.0,325.0,0.0
