10,Alberta,British Columbia,Manitoba,New Brunswick,Newfoundland and Labrador,Northwest Territories,Nova Scotia,Ontario,Prince Edward Island,Quebec,Saskatchewan
    0 to 4 years,2810.0,2080.0,3885.0,360.0,155.0,15.0,500.0,2650.0,30.0,1095.0,3215.0
    5 to 9 years,3080.0,2475.0,3975.0,365.0,125.0,20.0,500.0,2625.0,40.0,1285.0,3400.0
    10 to 14 years,2720.0,2300.0,3210.0,350.0,140.0,10.0,465.0,2190.0,30.0,1100.0,3095.0
    15 to 19 years,2425.0,2215.0,2955.0,300.0,140.0,10.0,440.0,2295.0,20.0,1065.0,2665.0
    20 to 24 years,2055.0,2165.0,2785.0,330.0,125.0,20.0,440.0,2025.0,10.0,940.0,2285.0
    25 to 29 years,1805.0,2165.0,2335.0,260.0,135.0,10.0,375.0,1835.0,30.0,865.0,2060.0
    30 to 34 years,1660.0,2095.0,1885.0,315.0,110.0,5.0,315.0,1650.0,35.0,820.0,1765.0
    35 to 39 years,1470.0,1975.0,1720.0,260.0,100.0,10.0,360.0,1710.0,15.0,805.0,1520.0
    40 to 44 years,1405.0,2030.0,1635.0,295.0,95.0,10.0,340.0,1665.0,15.0,840.0,1445.0
    45 to 49 years,1380.0,2365.0,1725.0,295.0,90.0,10.0,345.0,1710.0,15.0,865.0,1435.0
    50 to 54 years,1300.0,2925.0,1600.0,270.0,70.0,10.0,295.0,1825.0,20.0,780.0,1390.0
    55 to 59 years,1095.0,3195.0,1285.0,280.0,55.0,5.0,205.0,1685.0,10.0,795.0,1115.0
    60 to 64 years,825.0,2965.0,960.0,190.0,40.0,15.0,200.0,1340.0,10.0,545.0,770.0
    65 to 69 years,675.0,2850.0,590.0,150.0,25.0,5.0,125.0,1025.0,10.0,455.0,560.0
    70 to 74 years,385.0,2255.0,425.0,80.0,10.0,0.0,100.0,645.0,5.0,300.0,380.0
    75 to 79 years,215.0,1550.0,290.0,75.0,15.0,0.0,70.0,455.0,0.0,195.0,230.0
    80 to 84 years,145.0,905.0,155.0,40.0,0.0,0.0,35.0,320.0,5.0,135.0,130.0
      85 to 89 years,50.0,545.0,55.0,15.0,5.0,5.0,5.0,125.0,5.0,70.0,70.0
      90 to 94 years,25.0,195.0,25.0,5.0,0.0,0.0,10.0,50.0,0.0,15.0,0.0
      95 to 99 years,15.0,30.0,15.0,5.0,0.0,0.0,10.0,15.0,0.0,10.0,0.0
      100 years and over,0.0,15.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0
