10,Alberta,British Columbia,Canada,Manitoba,New Brunswick,Newfoundland and Labrador,Northwest Territories,Nova Scotia,Nunavut,Ontario,Prince Edward Island,Quebec,Saskatchewan,Yukon
    0 to 4 years,136520.0,113355.0,973030.0,41710.0,17505.0,11430.0,1605.0,21365.0,2130.0,357300.0,3645.0,227965.0,37335.0,1155.0
    5 to 9 years,138990.0,122070.0,1034685.0,42565.0,19515.0,13430.0,1520.0,23650.0,2130.0,387320.0,3985.0,240225.0,38155.0,1130.0
    10 to 14 years,124060.0,119975.0,985200.0,40835.0,19295.0,13340.0,1350.0,23350.0,1720.0,387000.0,3940.0,214345.0,34920.0,1075.0
    15 to 19 years,123625.0,133000.0,1039215.0,42555.0,20905.0,13980.0,1405.0,26240.0,1600.0,416730.0,4435.0,219070.0,34675.0,1000.0
    20 to 24 years,133990.0,147615.0,1144495.0,44465.0,21280.0,13915.0,1635.0,28150.0,1535.0,457815.0,4390.0,252600.0,36075.0,1035.0
    25 to 29 years,156715.0,151585.0,1144470.0,43570.0,19745.0,14095.0,1755.0,26790.0,1610.0,436345.0,3700.0,248030.0,39290.0,1245.0
    30 to 34 years,167555.0,155035.0,1148290.0,42210.0,20140.0,14185.0,1670.0,25130.0,1390.0,420800.0,3735.0,256440.0,38610.0,1395.0
    35 to 39 years,153655.0,143070.0,1118635.0,39885.0,21585.0,14555.0,1565.0,24560.0,1210.0,402900.0,3885.0,274595.0,35940.0,1235.0
    40 to 44 years,142545.0,141930.0,1104440.0,39530.0,23520.0,16745.0,1365.0,27245.0,1065.0,418465.0,4235.0,254100.0,32515.0,1170.0
    45 to 49 years,135855.0,155325.0,1157760.0,39220.0,25195.0,18740.0,1485.0,29720.0,1055.0,453105.0,4650.0,260410.0,31780.0,1210.0
    50 to 54 years,142205.0,172065.0,1318755.0,44485.0,29795.0,20730.0,1620.0,36615.0,955.0,517170.0,5425.0,309070.0,37230.0,1390.0
    55 to 59 years,138565.0,171210.0,1285190.0,43555.0,30210.0,21035.0,1480.0,36925.0,750.0,482280.0,5420.0,314190.0,38070.0,1505.0
    60 to 64 years,113440.0,156450.0,1114885.0,37780.0,28170.0,20570.0,1110.0,33735.0,535.0,406505.0,5215.0,276140.0,33935.0,1315.0
    65 to 69 years,85500.0,139490.0,953075.0,31280.0,25595.0,18310.0,785.0,30810.0,340.0,352475.0,4830.0,236395.0,26285.0,980.0
    70 to 74 years,56430.0,97675.0,677975.0,21940.0,17695.0,12720.0,450.0,21520.0,180.0,250455.0,3170.0,176905.0,18225.0,605.0
    75 to 79 years,39105.0,68715.0,469550.0,15250.0,11835.0,8015.0,230.0,14520.0,110.0,179810.0,2180.0,116020.0,13415.0,350.0
    80 to 84 years,27590.0,48645.0,325765.0,10740.0,7515.0,4885.0,155.0,9425.0,50.0,126825.0,1440.0,78390.0,9945.0,160.0
      85 to 89 years,16050.0,27930.0,185535.0,6460.0,3910.0,2300.0,65.0,4845.0,20.0,73045.0,715.0,43795.0,6305.0,90.0
      90 to 94 years,5755.0,10615.0,68675.0,2710.0,1595.0,790.0,25.0,1830.0,5.0,27400.0,260.0,15155.0,2515.0,30.0
      95 to 99 years,1145.0,2215.0,13240.0,580.0,330.0,140.0,5.0,415.0,5.0,5150.0,45.0,2685.0,520.0,5.0
      100 years and over,115.0,275.0,1340.0,60.0,30.0,20.0,0.0,45.0,0.0,495.0,5.0,255.0,50.0,0.0
