10,Alberta,British Columbia,Manitoba,New Brunswick,Newfoundland and Labrador,Northwest Territories,Nova Scotia,Ontario,Prince Edward Island,Quebec,Saskatchewan
    0 to 4 years,2870.0,2085.0,4055.0,345.0,140.0,5.0,470.0,2725.0,25.0,1260.0,3145.0
    5 to 9 years,3180.0,2590.0,4055.0,355.0,205.0,10.0,535.0,2825.0,35.0,1360.0,3560.0
    10 to 14 years,2750.0,2330.0,3470.0,340.0,145.0,10.0,480.0,2435.0,20.0,1180.0,3085.0
    15 to 19 years,2625.0,2380.0,3075.0,355.0,125.0,10.0,490.0,2505.0,20.0,1045.0,2835.0
    20 to 24 years,2290.0,2340.0,2710.0,315.0,110.0,15.0,440.0,2165.0,25.0,1000.0,2410.0
    25 to 29 years,1905.0,2335.0,2265.0,295.0,115.0,10.0,335.0,1885.0,20.0,835.0,2035.0
    30 to 34 years,1665.0,2245.0,1895.0,245.0,95.0,10.0,270.0,1625.0,30.0,695.0,1690.0
    35 to 39 years,1440.0,2160.0,1695.0,230.0,80.0,10.0,260.0,1580.0,20.0,765.0,1480.0
    40 to 44 years,1405.0,2005.0,1700.0,280.0,100.0,5.0,275.0,1605.0,5.0,750.0,1485.0
    45 to 49 years,1410.0,2325.0,1790.0,270.0,115.0,10.0,290.0,1690.0,20.0,770.0,1460.0
    50 to 54 years,1340.0,2735.0,1670.0,290.0,80.0,10.0,285.0,1805.0,20.0,785.0,1440.0
    55 to 59 years,1115.0,2825.0,1370.0,240.0,65.0,5.0,210.0,1605.0,25.0,705.0,1130.0
    60 to 64 years,800.0,2725.0,910.0,135.0,45.0,5.0,180.0,1270.0,10.0,575.0,770.0
    65 to 69 years,590.0,2560.0,655.0,125.0,25.0,10.0,115.0,1025.0,5.0,400.0,585.0
    70 to 74 years,375.0,2150.0,440.0,60.0,10.0,0.0,75.0,610.0,0.0,295.0,370.0
    75 to 79 years,245.0,1535.0,265.0,45.0,0.0,0.0,45.0,410.0,0.0,170.0,270.0
    80 to 84 years,100.0,895.0,115.0,35.0,5.0,0.0,15.0,220.0,0.0,115.0,100.0
      85 to 89 years,40.0,400.0,50.0,5.0,5.0,0.0,15.0,75.0,0.0,40.0,45.0
      90 to 94 years,5.0,105.0,15.0,5.0,0.0,0.0,0.0,60.0,0.0,15.0,10.0
      95 to 99 years,10.0,15.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0
      100 years and over,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
