10,Alberta,British Columbia,Canada,Manitoba,New Brunswick,Newfoundland and Labrador,Northwest Territories,Nova Scotia,Nunavut,Ontario,Prince Edward Island,Quebec,Saskatchewan,Yukon
    0 to 4 years,266515.0,220625.0,1898790.0,81065.0,34365.0,22365.0,3120.0,42005.0,4155.0,697360.0,7005.0,444930.0,73130.0,2135.0
    5 to 9 years,270715.0,236900.0,2018130.0,83375.0,38250.0,26040.0,3015.0,45980.0,4120.0,756085.0,7905.0,469165.0,74460.0,2120.0
    10 to 14 years,241920.0,233860.0,1922645.0,79380.0,37880.0,26035.0,2740.0,45845.0,3415.0,754530.0,7775.0,419160.0,68095.0,2020.0
    15 to 19 years,240035.0,258980.0,2026160.0,82440.0,40605.0,27255.0,2715.0,51255.0,3140.0,811670.0,8645.0,429825.0,67660.0,1935.0
    20 to 24 years,261830.0,287560.0,2242690.0,86760.0,41445.0,27700.0,3065.0,56160.0,3045.0,894390.0,8620.0,500100.0,70060.0,1965.0
    25 to 29 years,310940.0,303000.0,2285990.0,86695.0,39245.0,28245.0,3465.0,53725.0,3185.0,874350.0,7650.0,495410.0,77525.0,2550.0
    30 to 34 years,333175.0,313750.0,2329395.0,85185.0,41510.0,29405.0,3385.0,51730.0,2815.0,864765.0,7760.0,515505.0,77520.0,2890.0
    35 to 39 years,305505.0,293590.0,2288365.0,81105.0,44435.0,30740.0,3215.0,52010.0,2385.0,842485.0,8180.0,550540.0,71590.0,2590.0
    40 to 44 years,281205.0,295045.0,2255135.0,79325.0,48430.0,34505.0,2825.0,57050.0,2030.0,871875.0,8820.0,506525.0,64950.0,2540.0
    45 to 49 years,269030.0,322365.0,2359965.0,79350.0,51300.0,38665.0,2880.0,61890.0,2065.0,937385.0,9560.0,519425.0,63580.0,2465.0
    50 to 54 years,284310.0,354375.0,2678075.0,89840.0,61055.0,42620.0,3200.0,75675.0,1840.0,1056345.0,11250.0,619435.0,75245.0,2880.0
    55 to 59 years,275540.0,354925.0,2620240.0,87765.0,61740.0,43080.0,2825.0,76505.0,1405.0,989460.0,11330.0,636475.0,76195.0,2995.0
    60 to 64 years,226230.0,324095.0,2290510.0,77110.0,58060.0,42025.0,2105.0,69960.0,975.0,846145.0,10685.0,562670.0,67915.0,2530.0
    65 to 69 years,173680.0,287520.0,1972480.0,64905.0,52160.0,37485.0,1410.0,63710.0,655.0,737745.0,9940.0,488175.0,53230.0,1845.0
    70 to 74 years,117035.0,201785.0,1420875.0,45980.0,36050.0,26170.0,820.0,45005.0,345.0,528645.0,6625.0,373590.0,37740.0,1090.0
    75 to 79 years,83955.0,145225.0,1021850.0,33555.0,25300.0,16950.0,465.0,31545.0,205.0,393010.0,4695.0,256905.0,29400.0,645.0
    80 to 84 years,62165.0,105255.0,749650.0,25315.0,17650.0,11060.0,300.0,21915.0,105.0,291185.0,3370.0,187835.0,23115.0,375.0
      85 to 89 years,39965.0,67510.0,482525.0,17335.0,10670.0,6175.0,150.0,13205.0,40.0,188470.0,1895.0,120635.0,16280.0,195.0
      90 to 94 years,18025.0,31815.0,223510.0,8945.0,5305.0,2485.0,55.0,6320.0,10.0,88390.0,910.0,53165.0,8000.0,80.0
      95 to 99 years,4735.0,8545.0,56525.0,2520.0,1435.0,610.0,20.0,1855.0,5.0,21210.0,250.0,13035.0,2290.0,20.0
      100 years and over,650.0,1325.0,8230.0,415.0,205.0,90.0,0.0,270.0,0.0,3005.0,30.0,1850.0,375.0,0.0
