10,Alberta,British Columbia,Manitoba,New Brunswick,Newfoundland and Labrador,Northwest Territories,Nova Scotia,Ontario,Prince Edward Island,Quebec,Saskatchewan
    0 to 4 years,5715.0,4190.0,7940.0,690.0,295.0,25.0,990.0,5295.0,50.0,2340.0,6460.0
    5 to 9 years,6250.0,5030.0,8010.0,715.0,335.0,30.0,1030.0,5460.0,60.0,2665.0,6990.0
    10 to 14 years,5415.0,4610.0,6630.0,660.0,285.0,20.0,955.0,4650.0,55.0,2280.0,6230.0
    15 to 19 years,5020.0,4635.0,6020.0,665.0,265.0,20.0,950.0,4790.0,40.0,2105.0,5515.0
    20 to 24 years,4325.0,4495.0,5470.0,660.0,230.0,30.0,870.0,4230.0,40.0,1905.0,4670.0
    25 to 29 years,3715.0,4550.0,4580.0,560.0,240.0,25.0,715.0,3765.0,55.0,1685.0,4080.0
    30 to 34 years,3355.0,4345.0,3720.0,560.0,200.0,20.0,600.0,3225.0,65.0,1520.0,3460.0
    35 to 39 years,2900.0,4205.0,3405.0,505.0,175.0,25.0,630.0,3260.0,35.0,1575.0,2990.0
    40 to 44 years,2805.0,4050.0,3360.0,575.0,185.0,15.0,625.0,3335.0,30.0,1585.0,2860.0
    45 to 49 years,2825.0,4615.0,3530.0,560.0,205.0,20.0,625.0,3375.0,40.0,1650.0,2845.0
    50 to 54 years,2675.0,5660.0,3270.0,550.0,155.0,20.0,565.0,3645.0,45.0,1555.0,2810.0
    55 to 59 years,2215.0,5975.0,2665.0,500.0,130.0,10.0,430.0,3270.0,35.0,1495.0,2250.0
    60 to 64 years,1620.0,5590.0,1800.0,330.0,85.0,15.0,385.0,2625.0,20.0,1095.0,1575.0
    65 to 69 years,1280.0,5400.0,1235.0,270.0,65.0,15.0,245.0,2025.0,10.0,860.0,1190.0
    70 to 74 years,775.0,4440.0,850.0,125.0,25.0,5.0,170.0,1270.0,5.0,600.0,780.0
    75 to 79 years,495.0,3095.0,540.0,110.0,15.0,5.0,105.0,825.0,0.0,385.0,470.0
    80 to 84 years,245.0,1840.0,270.0,70.0,5.0,0.0,55.0,515.0,5.0,215.0,250.0
      85 to 89 years,100.0,860.0,80.0,15.0,15.0,0.0,25.0,210.0,5.0,100.0,145.0
      90 to 94 years,20.0,290.0,45.0,5.0,5.0,0.0,20.0,85.0,0.0,50.0,30.0
      95 to 99 years,10.0,45.0,0.0,5.0,0.0,0.0,5.0,15.0,0.0,15.0,5.0
      100 years and over,0.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
