Provinces,"Population, 2016","Population, 2011",Growth Rate,"Population %, 0 to 14y","Population %, 14 to 65y","Population %, over 65y"
Canada,35151728.0,33476688.0,5.00360131205333,16.6,66.5,16.9
Newfoundland and Labrador,519716.0,514536.0,1.0067322791796895,14.3,66.2,19.4
Prince Edward Island,142907.0,140204.0,1.9279050526375796,15.9,64.7,19.4
Nova Scotia,923598.0,921727.0,0.2029885204621218,14.5,65.6,19.9
New Brunswick,747101.0,751171.0,-0.5418207039409095,14.8,65.3,19.9
Quebec,8164361.0,7903001.0,3.3070981517021147,16.3,65.4,18.3
Ontario,13448494.0,12851821.0,4.642711721552928,16.4,66.8,16.7
Manitoba,1278365.0,1208268.0,5.8014447125968704,19.1,65.4,15.6
Saskatchewan,1098352.0,1033381.0,6.28722610537642,19.6,64.8,15.5
Alberta,4067175.0,3645257.0,11.574437687109572,19.2,68.5,12.3
British Columbia,4648055.0,4400057.0,5.636245166823972,14.9,66.9,18.3
Yukon,35874.0,33897.0,5.832374546420027,17.5,70.6,11.9
Northwest Territories,41786.0,41462.0,0.781438425546277,21.2,71.1,7.7
Nunavut,35944.0,31906.0,12.655926784930728,32.5,63.7,3.8
