"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"Health indicators, by Aboriginal identity, age-standardized rates, four-year period estimates",13100458,105-0513,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1310045801",1;2,"ARCHIVED -  a cube publicly available but no longer being updated",Occasional,2007-01-01,2007-01-01,5

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
1,Geography,,
2,Sex,,
3,"Aboriginal identity",,
4,Indicators,,
5,Characteristics,55;56;57;58;59;60;61,

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
1,Canada,,1,,,,
1,"Newfoundland and Labrador",,2,1,,,
1,"Prince Edward Island",,3,1,,,
1,"Nova Scotia",,4,1,,,
1,"New Brunswick",,5,1,,,
1,Quebec,,6,1,,,
1,Ontario,,7,1,,,
1,Manitoba,,8,1,,,
1,Saskatchewan,,9,1,,,
1,Alberta,,10,1,,,
1,"British Columbia",,11,1,,,
1,Yukon,,12,1,,3,
1,"Northwest Territories",,13,1,,3,
1,Nunavut,,14,1,,3;4,
2,"Both sexes",,1,,,,
2,Males,,2,1,,,
2,Females,,3,1,,,
3,"Total population",,1,,,,
3,"First Nations",,2,1,,5;6,
3,Métis,,3,1,,,
3,Inuit,,4,1,,,
3,"Non-Aboriginal identity population",,5,1,,,
4,Arthritis,,1,,,7;8,
4,Asthma,,2,,,9,
4,"Body mass index, self-reported, youth (12 to 17 years old), overweight or obese",,3,,,10;11,
4,"Body mass index, self-reported, adult (18 years and over), overweight or obese",,4,,,10;11;12;13;14,
4,"Body mass index, self-reported, adult (18 years and over), obese",,5,4,,10;11;12;13;14,
4,"Body mass index, self-reported, adult (18 years and over), overweight",,6,4,,10;11;12;13;14,
4,"Breastfeeding initiation",,7,,,15;16,
4,"Exclusive breastfeeding, at least 6 months",,8,,,15;17;18,
4,"Contact with a medical doctor in the past 12 months",,9,,,19;20;21,
4,"Has a regular medical doctor",,10,,,22,
4,"Current smoker, daily or occasional",,11,,,23;24;25;26;27,
4,"Current smoker, daily",,12,11,,23;24;25;27,
4,Diabetes,,13,,,28;29,
4,"Exposure to second-hand smoke at home",,14,,,30,
4,"Exposure to second-hand smoke in the past month, in vehicles and/or public places",,15,,,31,
4,"Exposure to second-hand smoke in the past month, in vehicles",,16,15,,31,
4,"Exposure to second-hand smoke in the past month, in public places",,17,15,,31,
4,"5 or more drinks on one occasion, at least once a month in the past year",,18,,,32,
4,"Never had alcoholic drinks in the past 12 months",,19,,,33,
4,"Food Insecurity, moderate or severe",,20,,,34,
4,"Fruit and vegetable consumption, 5 times or more per day",,21,,,35,
4,"High blood pressure, heart disease or suffering from effects of stroke",,22,,,36,
4,"High blood pressure",,23,22,,37,
4,"Influenza immunization, less than one year ago",,24,,,21;38,
4,"Life satisfaction, satisfied or very satisfied",,25,,,39;40,
4,"Mood disorder",,26,,,41,
4,"One or more chronic conditions",,27,,,42,
4,"Pain or discomfort by severity, moderate or severe",,28,,,43,
4,"Pain or discomfort that prevents activities",,29,,,44,
4,"Participation and activity limitation, sometimes or often",,30,,,45;46,
4,"Perceived health, very good or excellent",,31,,,47,
4,"Perceived health, fair or poor",,32,,,47,
4,"Perceived mental health, very good or excellent",,33,,,48,
4,"Perceived mental health, fair or poor",,34,,,48,
4,"Perceived life stress, quite a lot (15 years and over)",,35,,,49;50,
4,"Physical activity during leisure-time, moderately active or active",,36,,,51;52,
4,"Physical activity during leisure-time, inactive",,37,,,51;52,
4,"Respiratory problems",,38,,,53,
4,"Sense of belonging to local community, somewhat strong or very strong",,39,,,54,
5,"Age-standardized rate",,1,,,,
5,"Low 95% confidence interval, age-standardized rate",,2,,,,
5,"High 95% confidence interval, age-standardized rate",,3,,,,
5,"Coefficient of variation for age-standardized rate",,4,,,,

Symbol Legend
Description,Symbol
"not available for a specific reference period",..
"less than the limit of detection",<LOD
"value rounded to 0 (zero) where there is a meaningful distinction between true zero and the value that was rounded",0s
"data quality: excellent",A
"data quality: very good",B
"data quality: good",C
"data quality: acceptable",D
"use with caution",E
"too unreliable to be published.",F
"not applicable",...
preliminary,p
revised,r
"suppressed to meet the confidentiality requirements of the Statistics Act",x
terminated,t

"Survey Code","Survey Name"
3226,"Canadian Community Health Survey - Annual Component"

"Subject Code","Subject Name"
13,Health

"Note ID",Note
1,"Source: Statistics Canada, Canadian Community Health Survey (CCHS). The CANSIM table 105-0513 is now archived due to a change in age-standardization. More recent data are in CANSIM table 105-0515."
2,"All rates in this table are calculated excluding non-response categories (""refusal"", ""don't know"", and ""not stated"") in the denominator."
3,"Weighting controls on the proportion of Aboriginal and non-Aboriginal as well as capital and non-capital have been put in place for Yukon and the Northwest Territories. Similar controls for Inuit and non-Inuit have also been put in place for Nunavut for the same reference periods."
4,"The Canadian Community Health Survey is administered in Nunavut, using an alternative methodology that accommodates some of the operational difficulties inherent to remote locales. The 10 largest communities are Iqaluit, Cambridge Bay, Baker Lake, Arviat, Rankin Inlet, Kugluktuk, Pond Inlet, Cape Dorset, Pangnirtung, Igloolik."
5,"The terms ""First Nations"" and ""North American Indian"" can be interchanged."
6,"The term ""First Nations"" refers to the First Nations population living off reserve."
7,"Population aged 15 and over who reported that they have been diagnosed by a health professional as having arthritis."
8,"Arthritis includes rheumatoid arthritis and osteoarthritis, but excludes fibromyalgia. Starting with the 2011 questionnaire, in French only, the word arthrose"" was added to the question as patients tend to associate the word ""arthrite"" with rheumatoid arthritis and ""arthrose"" with degenerative arthritis."""
9,"Population aged 12 and over who reported that they have been diagnosed by a health professional as having asthma."
10,"Body mass index (BMI) is a method of classifying body weight according to health risk. According to the World Health Organization (WHO) and Health Canada guidelines, health risk levels are associated with each of the following BMI categories: normal weight = least health risk; underweight and overweight = increased health risk; obese, class I = high health risk; obese, class II = very high health risk; obese, class III = extremely high health risk."
11,"Body mass index (BMI) is calculated by dividing the respondent's body weight (in kilograms) by their height (in metres) squared."
12,"A definition change was implemented in 2004 to conform with the World Health Organization (WHO) and Health Canada guidelines for body weight classification. The index is calculated for the population aged 18 and over, excluding pregnant females and persons less than 3 feet (0.914 metres) tall or greater than 6 feet 11 inches (2.108 metres)."
13,"According to the World Health Organization (WHO) and Health Canada guidelines, the index for body weight classification is: less than 18.50 (underweight); 18.50 to 24.99 (normal weight); 25.00 to 29.99 (overweight); 30.00 to 34.99 (obese, class I); 35.00 to 39.99 (obese, class II); 40.00 or greater (obese, class III)."
14,"This indicator is measured out of 18 years and over only."
15,"Based on information provided by females aged 15 to 55 who had a baby in the last 5 years."
16,"Initiated breastfeeding refers to mothers who breastfed or tried to breastfeed their last child even if only for a short time."
17,"Exclusive breastfeeding refers to an infant receiving only breast milk, without any additional liquid (even water) or solid food."
18,"The numerator includes mothers who have exclusively breastfed for at least 6 months and who may or may not be still breastfeeding. The denominator includes all mothers who had a baby in the past 5 years but excludes mothers who were still breastfeeding and who had not introduced any other liquids or solid foods to the baby's feeds. Previously, this indicator included in the numerator, only mothers who had stopped breastfeeding and for whom we knew they had introduced other liquids or solid foods to the baby's feeds when the baby was 6 months or more. The denominator included mothers who had stopped breastfeeding and for whom we knew when they had introduced other liquids or solid foods to the baby's feeds. This modification will produce lower rates of 6 months exclusive breastfeeding as mothers who have had a baby in the past 5 years and have not breastfed are now included in the denominator. This change was implemented to produce more comparable rates over time and is more consistent with methods used in calculating other indicators."
19,"Population aged 12 and over who reported having consulted with a medical doctor in the past 12 months."
20,"Medical doctor includes family or general practitioners as well as specialists such as surgeons, allergists, orthopaedists, gynaecologists or psychiatrists. For population aged 12 to 17, includes pediatricians."
21,"Population aged 12 and over who reported when they had their last influenza immunization (flu shot)."
