CSD Code / Code de la SDR 1996,CSD Name / Nom de la SDR 1996,2A Population / Population 2A 1996,Income / Revenu 1996,Education / Scolarité 1996,Housing / Logement 1996,Labour Force Activity / Activité sur le marché du travail 1996,CWB / IBC 1996,Community Type / Type de collectivité 1996
1001101,"Division No.  1, Subd. V",19, , , , ,,Non-Aboriginal Communities
1001105,Portugal Cove South,322,62,20,97,51,57,Non-Aboriginal Communities
1001109,Biscay Bay,66, , , , ,55,Non-Aboriginal Communities
1001113,Trepassey,1084,65,38,99,53,64,Non-Aboriginal Communities
1001120,St. Shott's,209, , , , ,66,Non-Aboriginal Communities
1001124,"Division No.  1, Subd. U",1622,65,38,96,66,66,Non-Aboriginal Communities
1001126,Cape Broyle,633,67,38,92,60,64,Non-Aboriginal Communities
1001131,Renews-Cappahayden,503,65,40,96,64,66,Non-Aboriginal Communities
1001136,Fermeuse,446,62,27,99,58,62,Non-Aboriginal Communities
1001140,Port Kirwan,94, , , , ,62,Non-Aboriginal Communities
1001144,Aquaforte,172, , , , ,67,Non-Aboriginal Communities
1001149,Ferryland,667,63,40,97,59,65,Non-Aboriginal Communities
1001155,"Division No.  1, Subd. W",448,69,37,89,60,64,Non-Aboriginal Communities
1001169,St. Vincent's-St. Stephen's-Peter's River,589,62,29,98,53,60,Non-Aboriginal Communities
1001174,Gaskiers-Point la Haye,432,59,30,97,52,60,Non-Aboriginal Communities
1001178,St. Mary's,617,67,39,96,56,65,Non-Aboriginal Communities
1001181,Riverhead,311,65,30,82,60,59,Non-Aboriginal Communities
1001186,Admiral's Beach,255,70,17,100,74,65,Non-Aboriginal Communities
1001192,St. Joseph's,176, , , , ,72,Non-Aboriginal Communities
1001197,Mount Carmel-Mitchells Brook-St. Catherine's,534,66,37,99,73,69,Non-Aboriginal Communities
1001203,"Division No.  1, Subd. X",526,67,25,92,61,62,Non-Aboriginal Communities
1001207,Colinet,208, , , , ,73,Non-Aboriginal Communities
1001214,"Division No.  1, Subd. C",268,64,22,92,65,61,Non-Aboriginal Communities
1001219,Branch,351,56,20,89,41,52,Non-Aboriginal Communities
1001225,Point Lance,141, , , , ,59,Non-Aboriginal Communities
1001228,St. Bride's,542,55,19,92,55,55,Non-Aboriginal Communities
1001234,"Division No.  1, Subd. B",493,64,36,85,59,61,Non-Aboriginal Communities
1001240,Placentia,5013,64,37,95,70,67,Non-Aboriginal Communities
1001254,Fox Harbour,394,56,27,97,54,58,Non-Aboriginal Communities
1001259,"Division No.  1, Subd. A",1039,73,34,95,70,68,Non-Aboriginal Communities
1001263,Long Harbour-Mount Arlington Heights,472,68,36,95,63,65,Non-Aboriginal Communities
1001267,Southern Harbour,635,77,22,96,79,69,Non-Aboriginal Communities
1001270,Arnold's Cove,1115,80,33,94,78,71,Non-Aboriginal Communities
1001274,Come-By-Chance,300,77,42,99,81,75,Non-Aboriginal Communities
1001277,Sunnyside,621,70,33,99,75,69,Non-Aboriginal Communities
1001281,Chance Cove,394,71,29,96,60,64,Non-Aboriginal Communities
1001285,Norman's Cove-Long Cove,988,62,34,98,63,64,Non-Aboriginal Communities
1001289,Chapel Arm,575,75,50,96,72,73,Non-Aboriginal Communities
1001293,"Division No.  1, Subd. Y",1154,59,33,95,76,66,Non-Aboriginal Communities
1001298,Whitbourne,988,73,39,92,80,71,Non-Aboriginal Communities
1001304,"Division No.  1, Subd. E",3247,64,32,93,64,63,Non-Aboriginal Communities
1001308,Whiteway,360,56,38,100,61,64,Non-Aboriginal Communities
1001312,Heart's Delight-Islington,841,59,32,97,53,60,Non-Aboriginal Communities
1001316,Heart's Desire,339,50,22,90,32,49,Non-Aboriginal Communities
1001321,"Division No.  1, Subd. F",685,69,34,94,60,64,Non-Aboriginal Communities
