CSD Code / Code de la SDR 1981,CSD Code / Code de la SDR 1986,CSD Code / Code de la SDR 1991,CSD Code / Code de la SDR 1996,CSD Code / Code de la SDR 2001,CSD Code / Code de la SDR 2006,CSD Code / Code de la SDR 2011
1001128,,,,,,
1001478,,,,,,
1001481,,,,,,
1001486,,,,,,
1001558,,,,,,
1005013,,,,,,
1009025,,,,,,
1102024,,,,,,
1314007,,,,,,
1314009,,,,,,
2402900,,,,,,
2403900,,,,,,
2404580,,,,,,
2404630,,,,,,
2404900,,,,,,
2405600,,,,,,
2405620,,,,,,
2405950,,,,,,
2406250,,,,,,
2406310,,,,,,
2406330,,,,,,
2406500,,,,,,
2406520,,,,,,
2406900,,,,,,
2407950,,,,,,
2408940,,,,,,
2409920,,,,,,
2409960,,,,,,
2409980,,,,,,
2412900,,,,,,
2414900,,,,,,
2417950,,,,,,
2420470,,,,,,
2420590,,,,,,
2420900,,,,,,
2427490,,,,,,
2428170,,,,,,
2428190,,,,,,
2428210,,,,,,
2429450,,,,,,
2429470,,,,,,
2429490,,,,,,
2429510,,,,,,
2432220,,,,,,
2432240,,,,,,
2432940,,,,,,
2432970,,,,,,
2434140,,,,,,
2434180,,,,,,
2434220,,,,,,
2434240,,,,,,
2437120,,,,,,
2437150,,,,,,
2440700,,,,,,
2440780,,,,,,
2441480,,,,,,
2441700,,,,,,
2442520,,,,,,
2442540,,,,,,
2442560,,,,,,
2443780,,,,,,
2443900,,,,,,
2447580,,,,,,
2447900,,,,,,
2449900,,,,,,
2454120,,,,,,
2454160,,,,,,
2457650,,,,,,
2457700,,,,,,
2458900,,,,,,
2461900,,,,,,
2463220,,,,,,
2463230,,,,,,
2463430,,,,,,
2463490,,,,,,
2465140,,,,,,
2465240,,,,,,
2471170,,,,,,
2471220,,,,,,
2471270,,,,,,
2471320,,,,,,
2472110,,,,,,
2472200,,,,,,
2473340,,,,,,
2476930,,,,,,
2478900,,,,,,
2480900,,,,,,
2483920,,,,,,
2483970,,,,,,
2484710,,,,,,
2484715,,,,,,
2484930,,,,,,
2484940,,,,,,
2484970,,,,,,
2484985,,,,,,
2490900,,,,,,
2493960,,,,,,
2494200,,,,,,
2494210,,,,,,
2494925,,,,,,
2497210,,,,,,
2497220,,,,,,
2497240,,,,,,
2497350,,,,,,
2497360,,,,,,
2497940,,,,,,
2498900,,,,,,
3549074,,,,,,
3549092,,,,,,
4605044,,,,,,
4707073,,,,,,
4713066,,,,,,
4718079,,,,,,
5919027,,,,,,
5941017,,,,,,
5941025,,,,,,
5951005,,,,,,
5955040,,,,,,
1005026,1005026,,,,,
1005027,1005027,,,,,
1006016,1006016,,,,,
1006018,1006018,,,,,
2404150,2404150,,,,,
2404160,2404160,,,,,
2405560,2405560,,,,,
2405580,2405580,,,,,
2407390,2407390,,,,,
2407400,2407400,,,,,
2407410,2407410,,,,,
2407430,2407430,,,,,
,2408900,,,,,
2410510,2410510,,,,,
2410530,2410530,,,,,
2410570,2410570,,,,,
2410600,2410600,,,,,
2413740,2413740,,,,,
2413780,2413780,,,,,
2421420,2421420,,,,,
2421460,2421460,,,,,
2421500,2421500,,,,,
2422730,2422730,,,,,
2422780,2422780,,,,,
2423120,2423120,,,,,
2423130,2423130,,,,,
2423310,2423310,,,,,
