,Province Code,Province,CSD Code,CSD Name / Nom de la SDR 2011,Census Population / Population de recensement 2011,CWB / IBC 2011,Community Type / Type de collectivité 2011,2A Population / Population 2A 2006,CWB / IBC 2006,2A Population / Population 2A 2001,CWB / IBC 2001,2A Population / Population 2A 1996,CWB / IBC 1996,CWB 2006/2011,CWB 2001/2006,CWB 1996/2001,POP 2006/2011,POP 2001/2006,POP 1996/2001
156,10,Newfoundland and Labrador,1003801,Samiajij Miawpukek,920.0,73,First Nations Communities,867.0,68,837.0,69,751,71,0.0684931506849315,-0.014705882352941176,-0.028985507246376812,0.057608695652173914,0.03460207612456748,0.1027479091995221
472,11,Prince Edward Island,1103035,Lennox Island 1,293.0,68,First Nations Communities,252.0,71,261.0,63,222,62,-0.04411764705882353,0.11267605633802817,0.015873015873015872,0.13993174061433447,-0.03571428571428571,0.14942528735632185
497,12,Nova Scotia,1202040,Yarmouth 33,157.0,66,First Nations Communities,155.0,65,118.0,62,73,51,0.015151515151515152,0.046153846153846156,0.1774193548387097,0.012738853503184714,0.23870967741935484,0.3813559322033898
501,12,Nova Scotia,1203009,Bear River (Part) 6,102.0,66,First Nations Communities,101.0,69,89.0,69,77,70,-0.045454545454545456,0.0,-0.014492753623188406,0.00980392156862745,0.1188118811881188,0.1348314606741573
523,12,Nova Scotia,1207002,Cambridge 32,144.0,64,First Nations Communities,120.0,68,104.0,60,80,65,-0.0625,0.11764705882352941,-0.08333333333333333,0.16666666666666666,0.13333333333333333,0.23076923076923078
535,12,Nova Scotia,1208014,Indian Brook 14,1084.0,61,First Nations Communities,1014.0,58,932.0,59,946,55,0.04918032786885246,-0.017241379310344827,0.06779661016949153,0.06457564575645756,0.08086785009861933,-0.015021459227467811
543,12,Nova Scotia,1210003,Millbrook 27,847.0,68,First Nations Communities,703.0,73,821.0,68,758,66,-0.07352941176470588,0.0684931506849315,0.029411764705882353,0.17001180637544275,-0.1678520625889047,0.07673568818514007
563,12,Nova Scotia,1212019,Fisher's Grant 24,467.0,65,First Nations Communities,429.0,64,394.0,60,315,55,0.015384615384615385,0.0625,0.08333333333333333,0.08137044967880086,0.08158508158508158,0.20050761421319796
572,12,Nova Scotia,1214010,Pomquet And Afton 23,373.0,63,First Nations Communities,361.0,55,303.0,55,283,47,0.12698412698412698,0.0,0.14545454545454545,0.032171581769437,0.16066481994459833,0.066006600660066
576,12,Nova Scotia,1215008,Whycocomagh 2,800.0,62,First Nations Communities,623.0,59,635.0,50,574,54,0.04838709677419355,0.15254237288135594,-0.08,0.22125,-0.019261637239165328,0.09606299212598425
