Province,Community Type / Type de collectivité 2011,1996,2001,2006,2011
Alberta,First Nations Communities,48.095207416156626,48.85793209669859,51.365627844208014,50.539290748776914
Alberta,Non-Aboriginal Communities,78.99261243300872,81.4053268229162,85.03920075593655,86.50086056664556
British Columbia,First Nations Communities,65.94233171610354,66.45876589941273,68.12068051594012,70.33430856711418
British Columbia,Non-Aboriginal Communities,78.765411268435,80.29959918167143,83.22895929241825,83.91040291025271
Manitoba,First Nations Communities,47.15993870732749,48.71656043731712,47.206382422181534,46.173774296489704
Manitoba,Non-Aboriginal Communities,76.13932565260436,78.57301445984145,81.00610176263054,82.35940044839323
New Brunswick,First Nations Communities,58.64107883817427,56.98209671465485,62.60249494268375,60.9852516832318
New Brunswick,Non-Aboriginal Communities,73.52888490215452,75.65574095942222,78.7680663096497,80.57479898503921
Newfoundland and Labrador,First Nations Communities,71.0,69.0,68.0,73.0
Newfoundland and Labrador,Non-Aboriginal Communities,70.45289046904502,72.75259494737855,76.56503893457536,79.64204397959135
Northwest Territories,First Nations Communities,57.0,63.0,65.0,64.0
Northwest Territories,Non-Aboriginal Communities,84.0,86.0,88.0,88.0
Nova Scotia,First Nations Communities,56.0482905982906,57.87665660674452,60.41824290691886,62.30258864476833
Nova Scotia,Non-Aboriginal Communities,71.0419280518257,73.05985291574697,76.83219536136367,78.61291425311751
Ontario,First Nations Communities,57.401406015904115,60.67336052714151,64.02349212268109,64.07769822328295
Ontario,Non-Aboriginal Communities,79.00786290904138,81.38952796251891,83.72498420780704,84.10408608513241
Prince Edward Island,First Nations Communities,62.0,63.0,71.0,68.0
Prince Edward Island,Non-Aboriginal Communities,74.74728580771746,76.4162225727272,79.67719278738348,81.84779348757498
Quebec,First Nations Communities,54.515945205479454,57.70742358078603,60.41547183394325,60.439706113057575
Quebec,Inuit Communities,61.8245553643144,60.481831395348834,60.39085682492582,62.679735318445
Quebec,Non-Aboriginal Communities,74.55644551626669,77.29419712808557,80.43204001290624,81.58677702410843
Saskatchewan,First Nations Communities,46.261693069593676,48.308811107591595,47.46294002762826,49.586604744153114
Saskatchewan,Non-Aboriginal Communities,76.3809345477128,78.19131074790468,81.46582111521037,83.73452482579893
Yukon,First Nations Communities,69.3595,70.99018645731108,73.03815080789946,73.09597806215722
Yukon,Non-Aboriginal Communities,81.35814175001083,82.52306849815179,84.56084814735489,86.60204979157903
